	 QQQ Gain	 Account Size	 Num Shares	 Net Gain/Loss	 $ Gain	 % Gain
 	  	  $        8,122,853	  	  	  $ 1,169,864	 17%
 	 	 	 	 	 	 
 	 QQQ Gain	 Account Size	 Num Shares	 Net Gain/Loss	 $ Gain	 % Gain
6/4/2012	 -0.29	  $        8,122,853	 116041	  $       (403,822)	  	  
6/5/2012	 -0.35	  $        7,719,031	 110272	  $       (463,142)	  	  
6/6/2012	 0.95	  $        7,255,889	 103656	  $      1,181,673	  	  
6/7/2012	 -0.52	  $        8,437,563	 120537	  $       (752,148)	  	  
6/8/2012	 0.72	  $        7,685,414	 109792	  $         948,600	  	  
 	  	  $        8,634,014	  	  	  $     511,161	 6%
 	 	 	 	 	 	 
 	 QQQ Gain	 Account Size	 Num Shares	 Net Gain/Loss	 $ Gain	 % Gain
6/11/2012	 1.46	  $        8,634,014	 123343	  $      2,160,970	  	  
6/12/2012	 -0.47	  $      10,794,984	 154214	  $       (869,767)	  	  
6/13/2012	 0.27	  $        9,925,217	 141789	  $         459,396	  	  
6/14/2012	 -0.27	  $      10,384,613	 148352	  $       (480,659)	  	  
6/15/2012	 -0.52	  $        9,903,953	 141485	  $       (882,867)	  	  
 	  	  $        9,021,087	  	  	  $     387,073	 4%
 	 	 	 	 	 	 
 	 QQQ Gain	 Account Size	 Num Shares	 Net Gain/Loss	 $ Gain	 % Gain
6/18/2012	 0.83	  $        9,021,087	 128873	  $      1,283,572	  	  
6/19/2012	 0.34	  $      10,304,658	 147209	  $         600,614	  	  
6/20/2012	 -0.03	  $      10,905,273	 155790	  $         (56,084)	  	  
6/21/2012	 -0.52	  $      10,849,189	 154988	  $       (967,128)	  	  
6/22/2012	 -0.52	  $        9,882,061	 141172	  $       (880,915)	  	  
 	  	  $        9,001,146	  	  	  $      (19,941)	 0%
 	 	 	 	 	 	 
 	 QQQ Gain	 Account Size	 Num Shares	 Net Gain/Loss	 $ Gain	 % Gain
6/25/2012	 0.71	  $        9,001,146	 128588	  $      1,095,568	  	  
6/26/2012	 -0.19	  $      10,096,714	 144239	  $       (328,864)	  	  
6/27/2012	 -0.16	  $        9,767,849	 139541	  $       (267,918)	  	  
6/28/2012	 0.24	  $        9,499,931	 135713	  $         390,854	  	  
6/29/2012	 -0.52	  $        9,890,786	 141297	  $       (881,693)	  	  
 	  	  $        9,009,093	  	  	  $          7,947	 0%
 	 	 	 	 	 	 
 	 QQQ Gain	 Account Size	 Num Shares	 Net Gain/Loss	 $ Gain	 % Gain
7/2/2012	 0.13	  $        9,009,093	 128701	  $         200,774	  	  
7/3/2012	 0.50	  $        9,209,867	 131570	  $         789,417	  	  
7/4/2012	 HOLIDAY	  $        9,999,284	 142847	  $                       -	  	  
7/5/2012	 0.15	  $        9,999,284	 142847	  $         257,124	  	  
7/6/2012	 -0.52	  $      10,256,408	 146520	  $       (914,286)	  	  
 	  	  $        9,342,123	  	  	  $     333,030	 4%
 	 	 	 	 	 	 
 	 QQQ Gain	 Account Size	 Num Shares	 Net Gain/Loss	 $ Gain	 % Gain
7/9/2012	 -0.04	  $        9,342,123	 133459	  $         (64,060)	  	  
7/10/2012	 0.93	  $        9,278,063	 132544	  $      1,479,188	  	  
7/11/2012	 0.26	  $      10,757,251	 153675	  $         479,466	  	  
7/12/2012	  	  $      11,236,717	 160525	  $                       -	  	  
7/13/2012	  	  $      11,236,717	 160525	  $                       -	  	  
 	  	  $      11,236,717	  	  	  $ 1,894,594	 20%
