	 QQQ Gain	 Account Size	 Num Shares	 Net Gain/Loss	 $ Gain	 % Gain
12/7/2010	 -0.13	  $            136,329	 1948	  $            (3,038)	  	  
12/8/2010	 0.20	  $            133,291	 1904	  $              4,570	  	  
12/9/2010	 0.03	  $            137,861	 1969	  $                  709	  	  
12/10/2010	 0.23	  $            138,570	 1980	  $              5,464	  	  
 	  	  $            144,033	  	  	  $          7,938	 6%
 	 	 	 	 	 	 
 	 QQQ Gain	 Account Size	 Num Shares	 Net Gain/Loss	 $ Gain	 % Gain
12/13/2010	 -0.25	  $            144,033	 2058	  $            (6,173)	  	  
12/14/2010	 -0.12	  $            137,860	 1969	  $            (2,836)	  	  
12/15/2010	 -0.20	  $            135,024	 1929	  $            (4,629)	  	  
12/16/2010	 0.01	  $            130,395	 1863	  $                  224	  	  
12/17/2010	 -0.02	  $            130,618	 1866	  $               (448)	  	  
 	  	  $            130,171	  	  	  $      (13,863)	 -10%
 	 	 	 	 	 	 
 	 QQQ Gain	 Account Size	 Num Shares	 Net Gain/Loss	 $ Gain	 % Gain
12/20/2010	 0.37	  $            130,171	 1860	  $              8,257	  	  
12/21/2010	 0.13	  $            138,427	 1978	  $              3,085	  	  
12/22/2010	 0.01	  $            141,512	 2022	  $                  243	  	  
12/23/2010	 0.06	  $            141,755	 2025	  $              1,458	  	  
12/24/2010	  	  $            143,213	 2046	  $                       -	  	  
 	  	  $            143,213	  	  	  $        13,042	 10%
 	 	 	 	 	 	 
 	 QQQ Gain	 Account Size	 Num Shares	 Net Gain/Loss	 $ Gain	 % Gain
12/27/2010	 0.34	  $            143,213	 2046	  $              8,347	  	  
12/28/2010	 0.01	  $            151,560	 2165	  $                  260	  	  
12/29/2010	 -0.04	  $            151,820	 2169	  $            (1,041)	  	  
12/30/2010	 0.03	  $            150,779	 2154	  $                  775	  	  
12/31/2010	 0.10	  $            151,554	 2165	  $              2,598	  	  
 	  	  $            154,152	  	  	  $        10,940	 8%
 	 	 	 	 	 	 
 	 QQQ Gain	 Account Size	 Num Shares	 Net Gain/Loss	 $ Gain	 % Gain
1/3/2011	 -0.11	  $            154,152	 2202	  $            (2,907)	  	  
1/4/2011	 -0.12	  $            151,245	 2161	  $            (3,111)	  	  
1/5/2011	 0.12	  $            148,134	 2116	  $              3,047	  	  
1/6/2011	 0.21	  $            151,181	 2160	  $              5,443	  	  
1/7/2011	 -0.12	  $            156,624	 2237	  $            (3,222)	  	  
 	  	  $            153,402	  	  	  $            (750)	 0%
 	 	 	 	 	 	 
